Set 1,Set 2,Set 3,Set 4,Set 5,Set 6,Set 7,Set 8,Set 9,Set 10
2.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,2,3.0
5.0,2.0,3.0,2.0,1.0,3.0,3.0,5.0,3,1.0
2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2,2.0
1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3,3.0
2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3,3.0
1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3,3.0
2.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,3,3.0
1.0,3.0,3.0,2.0,6.0,3.0,3.0,1.0,3,6.0
3.0,3.0,3.0,1.0,4.0,13.0,13.0,3.0,3,7.0
3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,10,3.0
2.0,6.0,13.0,3.0,3.0,3.0,3.0,2.0,2,2.0
11.0,7.0,2.0,13.0,6.0,1.0,1.0,11.0,3,1.0
2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1,2.0
2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2,1.0
1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3,3.0
1.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1,3.0
2.0,1.0,15.0,2.0,3.0,15.0,15.0,4.0,3,13.0
4.0,6.0,4.0,4.0,1.0,6.0,6.0,3.0,15,5.0
3.0,10.0,3.0,3.0,18.0,1.0,1.0,15.0,6,1.0
15.0,3.0,2.0,15.0,3.0,2.0,2.0,4.0,1,3.0
4.0,2.0,1.0,7.0,3.0,1.0,1.0,2.0,2,3.0
3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1,3.0
2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,3,22.0
1.0,5.0,24.0,3.0,3.0,1.0,4.0,1.0,2,3.0
3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1,3.0
2.0,3.0,6.0,7.0,3.0,3.0,3.0,2.0,3,3.0
4.0,6.0,25.0,6.0,6.0,3.0,3.0,4.0,3,3.0
6.0,9.0,3.0,12.0,13.0,3.0,7.0,3.0,3,3.0
3.0,7.0,3.0,1.0,2.0,7.0,3.0,3.0,3,19.0
7.0,3.0,,6.0,3.0,3.0,2.0,10.0,10,3.0
2.0,3.0,,3.0,10.0,2.0,1.0,5.0,2,3.0
3.0,6.0,,25.0,12.0,1.0,2.0,1.0,1,3.0
1.0,19.0,,3.0,3.0,2.0,4.0,6.0,2,
6.0,3.0,,,3.0,4.0,18.0,3.0,4,
3.0,3.0,,,4.0,21.0,3.0,25.0,3,
22.0,3.0,,,3.0,3.0,3.0,3.0,18,
3.0,3.0,,,3.0,4.0,4.0,,3,
3.0,,,,,3.0,3.0,,1,
,,,,,,,,3,
,,,,,,,,3,
